movie_url,movie_id,year,released,rating,director,writer,star,country,budget,budget currency,budget value,gross,gross currency,gross value,company,runtime
http://www.imdb.com/title/tt4263482/?ref_=adv_li_tt,tt4263482,2015,"February 19, 2016 (United States)",R,Robert Eggers,Robert Eggers,Anya Taylor-Joy,United States,"$4,000,000 (estimated)",$,4000000.0,"$40,423,945",$,40423945.0,Parts and Labor,
http://www.imdb.com/title/tt1355683/?ref_=adv_li_tt,tt1355683,2015,"September 18, 2015 (United States)",R,Scott Cooper,Mark Mallouk,Johnny Depp,United States,"$53,000,000 (estimated)",$,53000000.0,"$99,775,678",$,99775678.0,Cross Creek Pictures,
http://www.imdb.com/title/tt2322441/?ref_=adv_li_tt,tt2322441,2015,"February 13, 2015 (United States)",R,Sam Taylor-Johnson,Kelly Marcel,Dakota Johnson,United States,"$40,000,000 (estimated)",$,40000000.0,"$569,651,467",$,569651467.0,Focus Features,
http://www.imdb.com/title/tt1392190/?ref_=adv_li_tt,tt1392190,2015,"May 15, 2015 (United States)",R,George Miller,George Miller,Tom Hardy,Australia,"$150,000,000 (estimated)",$,150000000.0,"$375,709,470",$,375709470.0,Warner Bros.,
http://www.imdb.com/title/tt2379713/?ref_=adv_li_tt,tt2379713,2015,"November 6, 2015 (United States)",PG-13,Sam Mendes,John Logan,Daniel Craig,United Kingdom,"$245,000,000 (estimated)",$,245000000.0,"$880,681,519",$,880681519.0,B24,
http://www.imdb.com/title/tt3397884/?ref_=adv_li_tt,tt3397884,2015,"October 2, 2015 (United States)",R,Denis Villeneuve,Taylor Sheridan,Emily Blunt,United States,"$30,000,000 (estimated)",$,30000000.0,"$84,997,446",$,84997446.0,Lionsgate,
http://www.imdb.com/title/tt1655441/?ref_=adv_li_tt,tt1655441,2015,"April 24, 2015 (United States)",PG-13,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,United States,"$25,000,000 (estimated)",$,25000000.0,"$65,663,276",$,65663276.0,Lakeshore Entertainment,
http://www.imdb.com/title/tt1596363/?ref_=adv_li_tt,tt1596363,2015,"December 23, 2015 (United States)",R,Adam McKay,Charles Randolph,Christian Bale,United States,"$28,000,000 (estimated)",$,28000000.0,"$133,440,870",$,133440870.0,Paramount Pictures,
http://www.imdb.com/title/tt2488496/?ref_=adv_li_tt,tt2488496,2015,"December 18, 2015 (United States)",PG-13,J.J. Abrams,Lawrence Kasdan,Daisy Ridley,United States,"$245,000,000 (estimated)",$,245000000.0,"$2,069,521,700",$,2069521700.0,Lucasfilm,
http://www.imdb.com/title/tt0810819/?ref_=adv_li_tt,tt0810819,2015,"January 22, 2016 (United States)",R,Tom Hooper,Lucinda Coxon,Eddie Redmayne,United Kingdom,"$15,000,000 (estimated)",$,15000000.0,"$64,191,523",$,64191523.0,Working Title Films,
