movie_url,movie_id,year,released,rating,director,writer,star,country,budget,budget currency,budget value,gross,gross currency,gross value,company,runtime
http://www.imdb.com/title/tt3402236/?ref_=adv_li_tt,tt6182908,2017,"November 10, 2017 (United States)",PG-13,Kenneth Branagh,Michael Green,Kenneth Branagh,United States,"$55,000,000 (estimated)",$,55000000.0,"$352,794,081",$,352794081.0,Twentieth Century Fox,
http://www.imdb.com/title/tt1485796/?ref_=adv_li_tt,tt6182908,2017,"December 20, 2017 (United States)",PG,Michael Gracey,Jenny Bicks,Hugh Jackman,United States,"$84,000,000 (estimated)",$,84000000.0,"$436,949,634",$,436949634.0,Bona Film Group,
http://www.imdb.com/title/tt1856101/?ref_=adv_li_tt,tt6182908,2017,"October 6, 2017 (United States)",R,Denis Villeneuve,Hampton Fancher,Harrison Ford,United States,"$150,000,000 (estimated)",$,150000000.0,"$259,352,064",$,259352064.0,Alcon Entertainment,
http://www.imdb.com/title/tt3501632/?ref_=adv_li_tt,tt6182908,2017,"November 3, 2017 (United States)",PG-13,Taika Waititi,Eric Pearson,Chris Hemsworth,United States,"$180,000,000 (estimated)",$,180000000.0,"$853,983,911",$,853983911.0,Walt Disney Pictures,
http://www.imdb.com/title/tt2250912/?ref_=adv_li_tt,tt6182908,2017,"July 7, 2017 (United States)",PG-13,Jon Watts,Jonathan Goldstein,Tom Holland,United States,"$175,000,000 (estimated)",$,175000000.0,"$880,166,924",$,880166924.0,Columbia Pictures,
http://www.imdb.com/title/tt1790809/?ref_=adv_li_tt,tt6182908,2017,"May 26, 2017 (United States)",PG-13,Joachim Rønning,Jeff Nathanson,Johnny Depp,United States,"$230,000,000 (estimated)",$,230000000.0,"$794,881,442",$,794881442.0,Walt Disney Pictures,
http://www.imdb.com/title/tt2771200/?ref_=adv_li_tt,tt6182908,2017,"March 17, 2017 (United States)",PG,Bill Condon,Stephen Chbosky,Emma Watson,United States,"$160,000,000 (estimated)",$,160000000.0,"$1,273,576,220",$,1273576220.0,Mandeville Films,
http://www.imdb.com/title/tt5013056/?ref_=adv_li_tt,tt6182908,2017,"July 21, 2017 (United States)",PG-13,Christopher Nolan,Christopher Nolan,Fionn Whitehead,United Kingdom,"$100,000,000 (estimated)",$,100000000.0,"$527,016,307",$,527016307.0,Syncopy,
http://www.imdb.com/title/tt5715874/?ref_=adv_li_tt,tt6182908,2017,"November 3, 2017 (United States)",R,Yorgos Lanthimos,Yorgos Lanthimos,Barry G. Bernson,Ireland,,,,"$7,027,336",$,7027336.0,Element Pictures,
http://www.imdb.com/title/tt5726616/?ref_=adv_li_tt,tt6182908,2017,"January 19, 2018 (United States)",R,Luca Guadagnino,James Ivory,Armie Hammer,Italy,"€4,000,000 (estimated)",€,4000000.0,"$41,888,660",$,41888660.0,Frenesy Film Company,
http://www.imdb.com/title/tt4209788/?ref_=adv_li_tt,tt6182908,2017,"January 5, 2018 (United States)",R,Aaron Sorkin,Aaron Sorkin,Jessica Chastain,China,"$30,000,000 (estimated)",$,30000000.0,"$59,284,015",$,59284015.0,STX Entertainment,
http://www.imdb.com/title/tt0974015/?ref_=adv_li_tt,tt6182908,2017,"November 17, 2017 (United States)",PG-13,Zack Snyder,Jerry Siegel,Ben Affleck,United States,"$300,000,000 (estimated)",$,300000000.0,"$657,926,987",$,657926987.0,Warner Bros.,
http://www.imdb.com/title/tt3890160/?ref_=adv_li_tt,tt6182908,2017,"June 28, 2017 (United States)",R,Edgar Wright,Edgar Wright,Ansel Elgort,United Kingdom,"$34,000,000 (estimated)",$,34000000.0,"$226,945,087",$,226945087.0,TriStar Pictures,
http://www.imdb.com/title/tt1396484/?ref_=adv_li_tt,tt6182908,2017,"September 8, 2017 (United States)",R,Andy Muschietti,Chase Palmer,Bill Skarsgård,United States,"$35,000,000 (estimated)",$,35000000.0,"$701,842,551",$,701842551.0,New Line Cinema,
http://www.imdb.com/title/tt4846232/?ref_=adv_li_tt,tt6182908,2017,"August 25, 2017 (United States)",R,Benny Safdie,Ronald Bronstein,Robert Pattinson,United States,"$4,500,000 (estimated)",$,4500000.0,"$3,283,369",$,3283369.0,Elara Pictures,
http://www.imdb.com/title/tt5052448/?ref_=adv_li_tt,tt6182908,2017,"February 24, 2017 (United States)",R,Jordan Peele,Jordan Peele,Daniel Kaluuya,United States,"$4,500,000 (estimated)",$,4500000.0,"$255,745,157",$,255745157.0,Universal Pictures,
http://www.imdb.com/title/tt2283362/?ref_=adv_li_tt,tt6182908,2017,"December 20, 2017 (United States)",PG-13,Jake Kasdan,Chris McKenna,Dwayne Johnson,United States,"$90,000,000 (estimated)",$,90000000.0,"$962,542,945",$,962542945.0,Columbia Pictures,
http://www.imdb.com/title/tt4649466/?ref_=adv_li_tt,tt6182908,2017,"September 22, 2017 (United States)",R,Matthew Vaughn,Jane Goldman,Taron Egerton,United Kingdom,"$104,000,000 (estimated)",$,104000000.0,"$410,902,662",$,410902662.0,Twentieth Century Fox,
http://www.imdb.com/title/tt2316204/?ref_=adv_li_tt,tt6182908,2017,"May 19, 2017 (United States)",R,Ridley Scott,Dan O'Bannon,Michael Fassbender,United States,"$97,000,000 (estimated)",$,97000000.0,"$240,891,763",$,240891763.0,Twentieth Century Fox,
http://www.imdb.com/title/tt3315342/?ref_=adv_li_tt,tt6182908,2017,"March 3, 2017 (United States)",R,James Mangold,James Mangold,Hugh Jackman,United States,"$97,000,000 (estimated)",$,97000000.0,"$619,179,950",$,619179950.0,Twentieth Century Fox,
